atracao_id,dia_semana_id,horario,aberto
110,2,10:00 a 22:00,1
110,3,10:00 a 22:00,1
110,4,10:00 a 22:00,1
110,5,10:00 a 22:00,1
110,6,11:00 a 21:00,1
110,0,Fechado,0
110,1,10:00 a 22:00,1
111,2,Atendimento 24 horas,1
111,3,Atendimento 24 horas,1
111,4,Atendimento 24 horas,1
111,5,Atendimento 24 horas,1
111,6,Atendimento 24 horas,1
111,0,Atendimento 24 horas,1
111,1,Atendimento 24 horas,1
112,2,09:00 a 17:00,1
112,3,09:00 a 17:00,1
112,4,09:00 a 17:00,1
112,5,09:00 a 17:00,1
112,6,09:00 a 17:00,1
112,0,Fechado,0
112,1,09:00 a 17:00,1
113,2,08:00 a 17:00,1
113,3,08:00 a 17:00,1
113,4,08:00 a 17:00,1
113,5,08:00 a 17:00,1
113,6,08:00 a 17:00,1
113,0,Fechado,0
113,1,Fechado,0
114,2,Atendimento 24 horas,1
114,3,Atendimento 24 horas,1
114,4,Atendimento 24 horas,1
114,5,Atendimento 24 horas,1
114,6,Atendimento 24 horas,1
114,0,Atendimento 24 horas,1
114,1,Atendimento 24 horas,1
116,2,06:00 a 18:00,1
116,3,06:00 a 18:00,1
116,4,06:00 a 18:00,1
116,5,06:00 a 18:00,1
116,6,06:00 a 18:00,1
116,0,06:00 a 18:00,1
116,1,06:00 a 18:00,1
117,2,06:00 a 18:00,1
117,3,06:00 a 18:00,1
117,4,06:00 a 18:00,1
117,5,06:00 a 18:00,1
117,6,06:00 a 18:00,1
117,0,06:00 a 18:00,1
117,1,06:00 a 18:00,1
118,2,06:00 a 17:00,1
118,3,06:00 a 17:00,1
118,4,06:00 a 17:00,1
118,5,06:00 a 17:00,1
118,6,06:00 a 17:00,1
118,0,06:00 a 17:00,1
118,1,06:00 a 17:00,1
119,2,06:00 a 18:00,1
119,3,06:00 a 18:00,1
119,4,06:00 a 18:00,1
119,5,06:00 a 18:00,1
119,6,06:00 a 18:00,1
119,0,06:00 a 18:00,1
119,1,06:00 a 18:00,1
122,2,05:00 a 20:00,1
122,3,05:00 a 20:00,1
122,4,05:00 a 20:00,1
122,5,05:00 a 20:00,1
122,6,05:00 a 20:00,1
122,0,05:00 a 20:00,1
122,1,05:00 a 20:00,1
124,2,06:00 a 22:00,1
124,3,06:00 a 22:00,1
124,4,06:00 a 22:00,1
124,5,06:00 a 22:00,1
124,6,06:00 a 22:00,1
124,0,06:00 a 22:00,1
124,1,06:00 a 22:00,1
125,2,06:00 a 18:00,1
125,3,06:00 a 18:00,1
125,4,06:00 a 18:00,1
125,5,06:00 a 18:00,1
125,6,06:00 a 18:00,1
125,0,06:00 a 18:00,1
125,1,06:00 a 18:00,1
127,2,Atendimento 24 horas,1
127,3,Atendimento 24 horas,1
127,4,Atendimento 24 horas,1
127,5,Atendimento 24 horas,1
127,6,Atendimento 24 horas,1
127,0,Atendimento 24 horas,1
127,1,Atendimento 24 horas,1
128,2,05:30 a 20:00,1
128,3,05:30 a 20:00,1
128,4,05:30 a 20:00,1
128,5,05:30 a 20:00,1
128,6,05:30 a 20:00,1
128,0,05:30 a 20:00,1
128,1,05:30 a 20:00,1
130,2,07:00 a 18:00,1
130,3,07:00 a 18:00,1
130,4,07:00 a 18:00,1
130,5,07:00 a 18:00,1
130,6,07:00 a 18:00,1
130,0,07:00 a 18:00,1
130,1,07:00 a 18:00,1
132,2,06:00 a 16:00,1
132,3,06:00 a 16:00,1
132,4,06:00 a 16:00,1
132,5,06:00 a 17:30,1
132,6,06:00 a 17:30,1
132,0,06:00 a 16:00,1
132,1,06:00 a 16:00,1
133,2,06:00 a 18:00,1
133,3,06:00 a 18:00,1
133,4,06:00 a 18:00,1
133,5,06:00 a 18:00,1
133,6,06:00 a 18:00,1
133,0,06:00 a 18:00,1
133,1,06:00 a 18:00,1
134,2,06:00 a 18:00,1
134,3,06:00 a 18:00,1
134,4,06:00 a 18:00,1
134,5,06:00 a 18:00,1
134,6,06:00 a 18:00,1
134,0,06:00 a 18:00,1
134,1,06:00 a 18:00,1
135,2,08:00 a 17:00,1
135,3,08:00 a 17:00,1
135,4,08:00 a 17:00,1
135,5,08:00 a 17:00,1
135,6,08:00 a 17:00,1
135,0,Fechado,0
135,1,08:00 a 17:00,1
136,2,Atendimento 24 horas,1
136,3,Atendimento 24 horas,1
136,4,Atendimento 24 horas,1
136,5,Atendimento 24 horas,1
136,6,Atendimento 24 horas,1
136,0,Atendimento 24 horas,1
136,1,Atendimento 24 horas,1
137,2,07:00 a 18:00,1
137,3,07:00 a 18:00,1
137,4,07:00 a 18:00,1
137,5,07:00 a 18:00,1
137,6,07:00 a 18:00,1
137,0,07:00 a 18:00,1
137,1,07:00 a 18:00,1
138,2,Atendimento 24 horas,1
138,3,Atendimento 24 horas,1
138,4,Atendimento 24 horas,1
138,5,Atendimento 24 horas,1
138,6,Atendimento 24 horas,1
138,0,Atendimento 24 horas,1
138,1,Atendimento 24 horas,1
139,2,07:00 a 19:00,1
139,3,07:00 a 19:00,1
139,4,07:00 a 19:00,1
139,5,07:00 a 19:00,1
139,6,07:00 a 19:00,1
139,0,07:00 a 19:00,1
139,1,07:00 a 19:00,1
140,2,10:00 a 17:00,1
140,3,10:00 a 17:00,1
140,4,10:00 a 17:00,1
140,5,09:00 a 17:00,1
140,6,09:00 a 17:00,1
140,0,10:00 a 17:00,1
140,1,10:00 a 17:00,1
